epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,16409.6,1.0665,2.07827,1.45735,0.45537,0.43096,0.40631,0.28509,1.01413,1.93189,1.49165,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525
85,16604,1.06078,2.03314,1.45046,0.46685,0.42558,0.40601,0.28449,1.02142,1.94588,1.4996,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
86,16798.4,1.0624,2.05467,1.46707,0.46663,0.43036,0.4051,0.28495,1.01247,1.95126,1.49229,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875
87,16992.8,1.05334,2.02783,1.45402,0.46037,0.42829,0.40823,0.28506,1.01876,1.95401,1.49535,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
88,17187.4,1.0244,1.93438,1.42629,0.46836,0.43712,0.40919,0.28704,1.01353,1.95329,1.49365,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
89,17381.9,1.04437,2.00672,1.44527,0.47857,0.44241,0.40972,0.28582,1.02692,1.95433,1.50879,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
90,17576.2,1.02743,1.93222,1.43427,0.47777,0.43621,0.40673,0.28647,1.02807,1.95399,1.50951,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575
91,17770.8,1.01653,1.96409,1.42774,0.47077,0.44329,0.40398,0.28401,1.02294,1.94901,1.50502,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
92,17965.7,1.02016,1.90756,1.43523,0.46118,0.45081,0.40276,0.28621,1.02925,1.94936,1.51148,0.0074775,0.0024925,0.0074775,0.0024925,0.0074775,0.0024925,0.0074775,0.0024925
93,18160.8,1.01141,1.90629,1.40977,0.44987,0.44066,0.39958,0.28468,1.0272,1.94368,1.51182,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
94,18355.1,0.998,1.91338,1.40243,0.45823,0.44079,0.40054,0.28463,1.01927,1.93699,1.50731,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
95,18549.2,0.96287,1.86309,1.37526,0.45103,0.45991,0.4051,0.28784,1.01647,1.93526,1.50538,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
96,18744.2,0.98301,1.85057,1.39345,0.45333,0.44925,0.40617,0.28762,1.01568,1.93411,1.50254,0.0064875,0.0021625,0.0064875,0.0021625,0.0064875,0.0021625,0.0064875,0.0021625
97,18940.7,0.99157,1.88221,1.39696,0.43919,0.45766,0.40517,0.28596,1.01295,1.9365,1.50379,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
98,19135.4,0.9922,1.83738,1.39198,0.45344,0.45231,0.40515,0.28505,1.01494,1.93484,1.50388,0.0059925,0.0019975,0.0059925,0.0019975,0.0059925,0.0019975,0.0059925,0.0019975
99,19329.8,0.96545,1.79096,1.37774,0.45889,0.43973,0.40407,0.28487,1.01452,1.93973,1.50403,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
100,19524.2,0.99203,1.7983,1.39916,0.48266,0.41087,0.40365,0.28377,1.01714,1.94313,1.50801,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
101,19718.3,0.97454,1.83723,1.38833,0.49544,0.40046,0.40364,0.28609,1.01808,1.94564,1.51105,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
102,19913.9,0.97246,1.77349,1.38419,0.47447,0.41767,0.40469,0.28767,1.01827,1.94265,1.51341,0.0050025,0.0016675,0.0050025,0.0016675,0.0050025,0.0016675,0.0050025,0.0016675
103,20107.9,0.97458,1.79,1.38417,0.46028,0.44058,0.40278,0.28668,1.01663,1.946,1.51304,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
104,20302.3,0.98062,1.77579,1.38821,0.4483,0.44318,0.40185,0.28465,1.01644,1.94848,1.51374,0.0045075,0.0015025,0.0045075,0.0015025,0.0045075,0.0015025,0.0045075,0.0015025
105,20497.2,0.95081,1.79499,1.36316,0.44077,0.45187,0.40204,0.28705,1.01879,1.95737,1.51891,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
106,20692.4,0.93132,1.70825,1.35513,0.44254,0.45146,0.40258,0.28758,1.01935,1.95938,1.51886,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
107,20887.2,0.93289,1.67917,1.35981,0.44003,0.46071,0.40253,0.28673,1.02432,1.96507,1.52321,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
108,21082.8,0.9524,1.68509,1.3746,0.43323,0.45844,0.40255,0.28731,1.02484,1.96886,1.52352,0.0035175,0.0011725,0.0035175,0.0011725,0.0035175,0.0011725,0.0035175,0.0011725
109,21280.7,0.94291,1.68299,1.37248,0.43533,0.45032,0.40239,0.28722,1.02531,1.97211,1.52419,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
110,21476.4,0.92822,1.70589,1.35626,0.43594,0.45105,0.40101,0.28548,1.02424,1.98376,1.52171,0.0030225,0.0010075,0.0030225,0.0010075,0.0030225,0.0010075,0.0030225,0.0010075
111,21672.5,0.71221,1.28893,1.1998,0.43347,0.44754,0.39982,0.28416,1.02472,1.99585,1.52138,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
112,21866.4,0.69186,1.22387,1.19559,0.43747,0.43839,0.39649,0.28178,1.02603,2.00292,1.52354,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
113,22060.7,0.70471,1.31441,1.19384,0.43963,0.43806,0.39568,0.28136,1.02588,2.01859,1.52358,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
114,22254.5,0.70861,1.22331,1.20223,0.44207,0.43257,0.39423,0.2804,1.02633,2.02917,1.52452,0.0020325,0.0006775,0.0020325,0.0006775,0.0020325,0.0006775,0.0020325,0.0006775
115,22449.1,0.68372,1.20706,1.17651,0.44912,0.4253,0.39293,0.28023,1.02819,2.03301,1.52818,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
116,22643.5,0.68711,1.19915,1.17144,0.45617,0.42269,0.39205,0.27913,1.02757,2.0418,1.52814,0.0015375,0.0005125,0.0015375,0.0005125,0.0015375,0.0005125,0.0015375,0.0005125
117,22836.7,0.68327,1.19758,1.1719,0.46085,0.42504,0.39138,0.27854,1.02698,2.05078,1.52852,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
118,23031,0.68449,1.18096,1.18176,0.45861,0.42319,0.3905,0.27688,1.02842,2.05815,1.53185,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
119,23224.8,0.6716,1.14435,1.16447,0.45708,0.4239,0.39015,0.27769,1.02875,2.06933,1.53242,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
120,23418.7,0.67689,1.14687,1.17804,0.45617,0.42591,0.38943,0.27711,1.02932,2.07658,1.53429,0.0005475,0.0001825,0.0005475,0.0001825,0.0005475,0.0001825,0.0005475,0.0001825
