epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,8157.95,1.0199,0.85768,1.25872,0.86588,0.69166,0.77402,0.52972,1.13478,0.94396,1.42642,0.000348789,0.000348789,0.000348789
64,8286.8,1.00318,0.85403,1.25372,0.83622,0.68117,0.76524,0.51876,1.14123,0.95641,1.42568,0.000342899,0.000342899,0.000342899
65,8414.97,0.98673,0.83458,1.25225,0.81634,0.70129,0.77064,0.52323,1.1339,0.96727,1.42073,0.000337008,0.000337008,0.000337008
66,8545.15,0.99481,0.87175,1.2569,0.83651,0.68812,0.77341,0.52649,1.14581,0.93931,1.42785,0.000331118,0.000331118,0.000331118
67,8674.26,0.99742,0.83196,1.24024,0.86358,0.67784,0.76908,0.52693,1.12719,0.96539,1.42345,0.000325227,0.000325227,0.000325227
68,8802.8,0.98168,0.8251,1.24617,0.86632,0.66445,0.75751,0.51741,1.13854,0.96679,1.4286,0.000319336,0.000319336,0.000319336
69,8931.12,0.9613,0.8112,1.23411,0.83578,0.69706,0.76576,0.52349,1.13122,0.94965,1.42877,0.000313446,0.000313446,0.000313446
70,9059.38,0.98248,0.84188,1.24507,0.84477,0.69447,0.76247,0.52056,1.15271,0.97113,1.44044,0.000307555,0.000307555,0.000307555
71,9187.84,0.98854,0.83091,1.24567,0.85243,0.69809,0.773,0.52862,1.14368,0.93306,1.44308,0.000301665,0.000301665,0.000301665
72,9316.34,0.94984,0.80062,1.21882,0.86315,0.68441,0.77389,0.52697,1.12476,0.96366,1.42476,0.000295775,0.000295775,0.000295775
73,9444.71,0.96328,0.81039,1.233,0.8586,0.68513,0.77607,0.52745,1.13637,0.93019,1.43796,0.000289884,0.000289884,0.000289884
74,9574.34,0.94431,0.80028,1.22653,0.82008,0.70556,0.77255,0.52459,1.1243,0.94142,1.42685,0.000283994,0.000283994,0.000283994
75,9703.28,0.96143,0.80916,1.22575,0.83503,0.69191,0.76255,0.52635,1.12643,0.95565,1.42445,0.000278103,0.000278103,0.000278103
76,9831.74,0.95127,0.79963,1.2277,0.87597,0.67453,0.76877,0.52389,1.14414,0.97414,1.45143,0.000272212,0.000272212,0.000272212
77,9960.24,0.94466,0.78289,1.22201,0.83132,0.70014,0.77142,0.52651,1.13472,0.95007,1.4455,0.000266322,0.000266322,0.000266322
78,10089.9,0.94173,0.77379,1.22749,0.82516,0.6818,0.76056,0.51666,1.13033,1.00635,1.43685,0.000260431,0.000260431,0.000260431
79,10220.3,0.93671,0.77028,1.21225,0.84351,0.68791,0.75938,0.51706,1.12253,0.98498,1.43961,0.000254541,0.000254541,0.000254541
80,10350.7,0.92572,0.75535,1.19604,0.84403,0.69722,0.76762,0.52667,1.12207,0.97243,1.45032,0.000248651,0.000248651,0.000248651
81,10480.2,0.92318,0.742,1.20302,0.85949,0.68839,0.76726,0.52516,1.11763,0.98088,1.43522,0.00024276,0.00024276,0.00024276
82,10609.2,0.9157,0.734,1.20527,0.86037,0.68065,0.76383,0.52677,1.11704,0.96263,1.43408,0.000236869,0.000236869,0.000236869
83,10739.4,0.90543,0.72976,1.20003,0.83686,0.68991,0.76788,0.52437,1.12474,0.976,1.44306,0.000230979,0.000230979,0.000230979
84,10868.3,0.90657,0.71802,1.18314,0.82708,0.68614,0.7595,0.52044,1.13597,0.98796,1.45908,0.000225089,0.000225089,0.000225089
85,10996.4,0.89811,0.73108,1.18951,0.84409,0.68692,0.75824,0.52639,1.12374,0.99318,1.45227,0.000219198,0.000219198,0.000219198
86,11124.4,0.89345,0.72014,1.19116,0.87323,0.66513,0.76246,0.52712,1.12422,0.97651,1.44978,0.000213307,0.000213307,0.000213307
87,11252.6,0.9083,0.72579,1.19396,0.84568,0.68699,0.7628,0.52723,1.11726,0.97979,1.44995,0.000207417,0.000207417,0.000207417
88,11380.6,0.88301,0.70769,1.18659,0.82734,0.70428,0.76272,0.52816,1.1141,0.9859,1.44221,0.000201527,0.000201527,0.000201527
